year,month,station_name,individuals,coliform_bacteria,dissolved_oxygen_saturation_percentage,opacity,ph_value,specific_electrical_conductivity,temperature
2023.0,2.0,bridge_iri_yagur,10,18000.0,59.1,95.09,8.0,3.41,14.56
2023.0,2.0,histadrut_bridge,3,13000.0,62.6,18.91,7.98,12.08,14.67
2023.0,2.0,morad_reservoir_kfar_baruch,15,88000.0,56.9,16.19,8.02,3.1,13.94
2023.0,2.0,quarry_station_jalama,4,16000.0,68.8,67.92,8.12,3.4,14.5
2023.0,3.0,bridge_iri_yagur,1,130000.0,57.0,400.02,8.09,2.38,16.67
2023.0,3.0,histadrut_bridge,5,160000.0,48.6,31.23,7.88,7.52,16.72
2023.0,3.0,julius_simon_bridge,1,120000.0,45.4,19.59,7.77,13.63,17.17
2023.0,3.0,morad_reservoir_kfar_baruch,20,1100.0,44.7,12.91,8.02,2.56,17.94
2023.0,4.0,morad_reservoir_kfar_baruch,33,65000.0,47.3,88.92,7.98,1.89,21.28
2023.0,5.0,bridge_iri_yagur,4,13000.0,53.8,113.6,7.85,2.94,24.33
2023.0,5.0,histadrut_bridge,7,2400.0,36.8,21.69,7.73,14.27,23.61
2023.0,5.0,morad_reservoir_kfar_baruch,63,900.0,49.6,16.0,7.74,3.06,24.83
2023.0,5.0,quarry_station_jalama,1,34000.0,59.8,104.49,7.86,3.03,23.39
2023.0,6.0,gypsum_mountain,3,11000.0,40.6,26.44,7.99,4.64,24.5
2023.0,6.0,histadrut_bridge,1258,1600.0,93.8,14.84,8.19,27.37,26.67
2023.0,6.0,morad_reservoir_kfar_baruch,16,14000.0,59.7,150.7,7.87,4.62,24.06
2023.0,6.0,quarry_station_jalama,1,17000.0,62.9,67.55,8.08,4.16,25.11
2023.0,8.0,morad_reservoir_kfar_baruch,5,13000.0,103.3,124.86,8.13,4.8,29.67
2024.0,2.0,morad_reservoir_kfar_baruch,19,6700.0,59.7,9.95,7.92,0.8354,14.17
2024.0,2.0,quarry_station_jalama,1,68000.0,68.0,44.17,8.03,1.1459,14.72
2024.0,3.0,morad_reservoir_kfar_baruch,3,190.0,75.0,0.92,8.2,2.3432,18.89
2024.0,3.0,quarry_station_jalama,3,11000.0,55.6,30.39,8.02,2.3132,18.5
2024.0,4.0,morad_reservoir_kfar_baruch,1,400.0,7.67,13.71,8.15,1.48,2.8402
2024.0,5.0,gypsum_mountain,2,35000.0,59.5,34.32,8.09,2.9351,23.94
2024.0,5.0,morad_reservoir_kfar_baruch,59,7700.0,84.3,303.94,8.02,4.4558,23.06
2024.0,5.0,quarry_station_jalama,1,28000.0,87.1,87.53,8.11,3.6055,24.61
2024.0,6.0,gypsum_mountain,1,4200.0,56.8,39.63,8.1,3.4903,27.22
2024.0,6.0,julius_simon_bridge,2,1100.0,116.9,8.67,8.11,23.3848,28.78
2024.0,6.0,morad_reservoir_kfar_baruch,4,6500000.0,11.5,51.02,8.23,4.7353,27.06
2024.0,6.0,quarry_station_jalama,57,22000.0,83.0,49.8,8.22,3.6201,28.61
2024.0,6.0,stone_pier,6,5800.0,106.2,2.29,8.09,52.6065,29.78
2024.0,7.0,morad_reservoir_kfar_baruch,4,4200.0,86.1,679.05,8.08,4.3667,28.44
2024.0,8.0,morad_reservoir_kfar_baruch,18,12000.0,100.8,1200.28,7.96,3.8547,27.94444444
2024.0,9.0,histadrut_bridge,9,27.2964,2.54,0.05,10679.0,7.92,39.3
2024.0,9.0,morad_reservoir_kfar_baruch,1,2.7638,5.55,20.35,323.0,8.2,68.9
2024.0,10.0,morad_reservoir_kfar_baruch,2,240000.0,31.4,53.63,8.31,2.9708,18.89
2024.0,11.0,morad_reservoir_kfar_baruch,2,48000.0,87.5,109.86,8.31,3.0826,11.56
2024.0,12.0,morad_reservoir_kfar_baruch,2,72000.0,85.7,138.93,8.29,3.7828,9.94
