"תחנה","תאריך ושעה (שעון קיץ)","טמפרטורה (C°)","מהירות רוח (מטר לשניה)"
"חיפה בתי זיקוק 01/1999-03/2025","05-01-2022 06:00","15.7","2.1"
"חיפה בתי זיקוק 01/1999-03/2025","05-01-2022 09:00","15","2.3"
"חיפה בתי זיקוק 01/1999-03/2025","05-01-2022 12:00","15.6","4.8"
"חיפה בתי זיקוק 01/1999-03/2025","05-01-2022 15:00","15.8","1.6"
"חיפה בתי זיקוק 01/1999-03/2025","05-01-2022 18:00","16","1.4"
"חיפה בתי זיקוק 01/1999-03/2025","05-01-2022 21:00","15.3","1.2"
"חיפה בתי זיקוק 01/1999-03/2025","06-01-2022 00:00","14.9","2.8"
"חיפה בתי זיקוק 01/1999-03/2025","06-01-2022 03:00","13.7","2.2"
"חיפה בתי זיקוק 01/1999-03/2025","06-01-2022 06:00","11.6","3.4"
"חיפה בתי זיקוק 01/1999-03/2025","06-01-2022 09:00","15.2","3.3"
"חיפה בתי זיקוק 01/1999-03/2025","06-01-2022 12:00","19.7","3.3"
"חיפה בתי זיקוק 01/1999-03/2025","06-01-2022 15:00","22.2","3.2"
"חיפה בתי זיקוק 01/1999-03/2025","06-01-2022 18:00","17.3","1.7"
"חיפה בתי זיקוק 01/1999-03/2025","06-01-2022 21:00","15.3","3.4"
"חיפה בתי זיקוק 01/1999-03/2025","07-01-2022 00:00","17.3","4.5"
"חיפה בתי זיקוק 01/1999-03/2025","07-01-2022 03:00","16.3","6.2"
"חיפה בתי זיקוק 01/1999-03/2025","07-01-2022 06:00","15.1","4.3"
"חיפה בתי זיקוק 01/1999-03/2025","07-01-2022 09:00","14.7","7.7"
"חיפה בתי זיקוק 01/1999-03/2025","07-01-2022 12:00","18.9","5.3"
"חיפה בתי זיקוק 01/1999-03/2025","07-01-2022 15:00","22.9","1.3"
"חיפה בתי זיקוק 01/1999-03/2025","07-01-2022 18:00","16.7","1.9"
"חיפה בתי זיקוק 01/1999-03/2025","07-01-2022 21:00","12.2","0.4"
"חיפה בתי זיקוק 01/1999-03/2025","08-01-2022 00:00","10.5","4.2"
"חיפה בתי זיקוק 01/1999-03/2025","08-01-2022 03:00","8.7","3.5"
"חיפה בתי זיקוק 01/1999-03/2025","08-01-2022 06:00","11","1.5"
"חיפה בתי זיקוק 01/1999-03/2025","08-01-2022 09:00","14.3","7.6"
"חיפה בתי זיקוק 01/1999-03/2025","08-01-2022 12:00","20.1","3.5"
"חיפה בתי זיקוק 01/1999-03/2025","08-01-2022 15:00","22.8","5.6"
"חיפה בתי זיקוק 01/1999-03/2025","08-01-2022 18:00","19.1","2.4"
"חיפה בתי זיקוק 01/1999-03/2025","08-01-2022 21:00","15.9","3"
"חיפה בתי זיקוק 01/1999-03/2025","09-01-2022 00:00","15.9","6.5"
"חיפה בתי זיקוק 01/1999-03/2025","09-01-2022 03:00","17.5","6.4"
"חיפה בתי זיקוק 01/1999-03/2025","09-01-2022 06:00","16.2","6.4"
"חיפה בתי זיקוק 01/1999-03/2025","09-01-2022 09:00","14.9","7.2"
"חיפה בתי זיקוק 01/1999-03/2025","09-01-2022 12:00","19.5","5.8"
"חיפה בתי זיקוק 01/1999-03/2025","09-01-2022 15:00","20.5","8.1"
"חיפה בתי זיקוק 01/1999-03/2025","09-01-2022 18:00","16.8","6.1"
"חיפה בתי זיקוק 01/1999-03/2025","09-01-2022 21:00","14.9","1.9"
"חיפה בתי זיקוק 01/1999-03/2025","10-01-2022 00:00","11.9","3.6"
"חיפה בתי זיקוק 01/1999-03/2025","10-01-2022 03:00","13.6","5.2"
"חיפה בתי זיקוק 01/1999-03/2025","10-01-2022 06:00","12.7","7.2"
"חיפה בתי זיקוק 01/1999-03/2025","10-01-2022 09:00","13.4","5.7"
"חיפה בתי זיקוק 01/1999-03/2025","10-01-2022 12:00","17.2","7.4"
"חיפה בתי זיקוק 01/1999-03/2025","10-01-2022 15:00","18.3","5.8"
"חיפה בתי זיקוק 01/1999-03/2025","10-01-2022 18:00","15.5","3.8"
"חיפה בתי זיקוק 01/1999-03/2025","10-01-2022 21:00","12.8","0.9"
"חיפה בתי זיקוק 01/1999-03/2025","11-01-2022 00:00","10.4","1.9"
"חיפה בתי זיקוק 01/1999-03/2025","11-01-2022 03:00","10.8","3.9"
"חיפה בתי זיקוק 01/1999-03/2025","11-01-2022 06:00","12.2","7.1"
"חיפה בתי זיקוק 01/1999-03/2025","11-01-2022 09:00","12.7","6.1"
"חיפה בתי זיקוק 01/1999-03/2025","11-01-2022 12:00","16.5","4.4"
"חיפה בתי זיקוק 01/1999-03/2025","11-01-2022 15:00","20.2","2.8"
"חיפה בתי זיקוק 01/1999-03/2025","11-01-2022 18:00","15.3","1.2"
"חיפה בתי זיקוק 01/1999-03/2025","11-01-2022 21:00","11.1","1.2"
"חיפה בתי זיקוק 01/1999-03/2025","12-01-2022 00:00","9.6","3.9"
"חיפה בתי זיקוק 01/1999-03/2025","12-01-2022 03:00","13.6","6.7"
"חיפה בתי זיקוק 01/1999-03/2025","12-01-2022 06:00","12.9","7.9"
"חיפה בתי זיקוק 01/1999-03/2025","12-01-2022 09:00","12.5","2.3"
"חיפה בתי זיקוק 01/1999-03/2025","12-01-2022 12:00","16.8","6.6"
"חיפה בתי זיקוק 01/1999-03/2025","12-01-2022 15:00","21.9","6.7"
"חיפה בתי זיקוק 01/1999-03/2025","12-01-2022 18:00","18.1","3.2"
"חיפה בתי זיקוק 01/1999-03/2025","12-01-2022 21:00","13","4.8"
"חיפה בתי זיקוק 01/1999-03/2025","13-01-2022 00:00","12","6"
"חיפה בתי זיקוק 01/1999-03/2025","13-01-2022 03:00","12.5","4.3"
"חיפה בתי זיקוק 01/1999-03/2025","13-01-2022 06:00","13.4","5.2"
"חיפה בתי זיקוק 01/1999-03/2025","13-01-2022 09:00","13.3","4"
"חיפה בתי זיקוק 01/1999-03/2025","13-01-2022 12:00","18.1","5.2"
"חיפה בתי זיקוק 01/1999-03/2025","13-01-2022 15:00","19.6","6.9"
"חיפה בתי זיקוק 01/1999-03/2025","13-01-2022 18:00","17.2","5.2"
"חיפה בתי זיקוק 01/1999-03/2025","13-01-2022 21:00","13.1","3.8"
"חיפה בתי זיקוק 01/1999-03/2025","14-01-2022 00:00","13","3.2"
"חיפה בתי זיקוק 01/1999-03/2025","14-01-2022 03:00","12.3","5.4"
"חיפה בתי זיקוק 01/1999-03/2025","14-01-2022 06:00","14.2","7.4"
"חיפה בתי זיקוק 01/1999-03/2025","14-01-2022 09:00","11.8","1.4"
"חיפה בתי זיקוק 01/1999-03/2025","14-01-2022 12:00","14.1","1.1"
"חיפה בתי זיקוק 01/1999-03/2025","14-01-2022 15:00","13.8","4.2"
"חיפה בתי זיקוק 01/1999-03/2025","14-01-2022 18:00","10.8","1.4"
"חיפה בתי זיקוק 01/1999-03/2025","14-01-2022 21:00","9.7","0.5"
"חיפה בתי זיקוק 01/1999-03/2025","15-01-2022 00:00","11.3","2.8"
"חיפה בתי זיקוק 01/1999-03/2025","15-01-2022 03:00","11.1","1.9"
"חיפה בתי זיקוק 01/1999-03/2025","15-01-2022 06:00","10.7","3.4"
"חיפה בתי זיקוק 01/1999-03/2025","15-01-2022 09:00","10.9","6.9"
"חיפה בתי זיקוק 01/1999-03/2025","15-01-2022 12:00","13.7","5.9"
"חיפה בתי זיקוק 01/1999-03/2025","15-01-2022 15:00","13.2","4.3"
"חיפה בתי זיקוק 01/1999-03/2025","15-01-2022 18:00","11.7","1.6"
"חיפה בתי זיקוק 01/1999-03/2025","15-01-2022 21:00","11.4","1.9"
"חיפה בתי זיקוק 01/1999-03/2025","16-01-2022 00:00","11","0.8"
"חיפה בתי זיקוק 01/1999-03/2025","16-01-2022 03:00","11","1.6"
"חיפה בתי זיקוק 01/1999-03/2025","16-01-2022 06:00","10.7","0.7"
"חיפה בתי זיקוק 01/1999-03/2025","16-01-2022 09:00","10.8","3.4"
"חיפה בתי זיקוק 01/1999-03/2025","16-01-2022 12:00","12","7.7"
"חיפה בתי זיקוק 01/1999-03/2025","16-01-2022 15:00","12.6","7.4"
"חיפה בתי זיקוק 01/1999-03/2025","16-01-2022 18:00","11.8","7"
"חיפה בתי זיקוק 01/1999-03/2025","16-01-2022 21:00","9.6","3"
"חיפה בתי זיקוק 01/1999-03/2025","17-01-2022 00:00","7.3","1.3"
"חיפה בתי זיקוק 01/1999-03/2025","17-01-2022 03:00","4.1","2.7"
"חיפה בתי זיקוק 01/1999-03/2025","17-01-2022 06:00","3","3.1"
"חיפה בתי זיקוק 01/1999-03/2025","17-01-2022 09:00","6.8","6"
"חיפה בתי זיקוק 01/1999-03/2025","17-01-2022 12:00","11.7","3.2"
"חיפה בתי זיקוק 01/1999-03/2025","17-01-2022 15:00","13.3","5.2"
"חיפה בתי זיקוק 01/1999-03/2025","17-01-2022 18:00","9.3","3.5"
"חיפה בתי זיקוק 01/1999-03/2025","17-01-2022 21:00","5.6","1.7"
"חיפה בתי זיקוק 01/1999-03/2025","18-01-2022 00:00","3.1","4"
"חיפה בתי זיקוק 01/1999-03/2025","18-01-2022 03:00","5.7","3.6"
"חיפה בתי זיקוק 01/1999-03/2025","18-01-2022 06:00","6.7","4.4"
"חיפה בתי זיקוק 01/1999-03/2025","18-01-2022 09:00","6.4","2.5"
"חיפה בתי זיקוק 01/1999-03/2025","18-01-2022 12:00","10.5","6.9"
"חיפה בתי זיקוק 01/1999-03/2025","18-01-2022 15:00","13.2","5.4"
"חיפה בתי זיקוק 01/1999-03/2025","18-01-2022 18:00","12.7","4.9"
"חיפה בתי זיקוק 01/1999-03/2025","18-01-2022 21:00","9.9","7.3"
"חיפה בתי זיקוק 01/1999-03/2025","19-01-2022 00:00","9.8","5.1"
"חיפה בתי זיקוק 01/1999-03/2025","19-01-2022 03:00","10.8","11.3"
"חיפה בתי זיקוק 01/1999-03/2025","19-01-2022 06:00","10.9","5.6"
"חיפה בתי זיקוק 01/1999-03/2025","19-01-2022 09:00","12.3","9.9"
"חיפה בתי זיקוק 01/1999-03/2025","19-01-2022 12:00","13.7","10.7"
"חיפה בתי זיקוק 01/1999-03/2025","19-01-2022 15:00","10.6","5.2"
"חיפה בתי זיקוק 01/1999-03/2025","19-01-2022 18:00","10.2","11.8"
"חיפה בתי זיקוק 01/1999-03/2025","19-01-2022 21:00","7.4","10.9"
"חיפה בתי זיקוק 01/1999-03/2025","20-01-2022 00:00","8.9","10.2"
"חיפה בתי זיקוק 01/1999-03/2025","20-01-2022 03:00","9","9.7"
"חיפה בתי זיקוק 01/1999-03/2025","20-01-2022 06:00","9.2","8.1"
"חיפה בתי זיקוק 01/1999-03/2025","20-01-2022 09:00","9.8","6.9"
"חיפה בתי זיקוק 01/1999-03/2025","20-01-2022 12:00","12.7","5.4"
"חיפה בתי זיקוק 01/1999-03/2025","20-01-2022 15:00","12.3","6.1"
"חיפה בתי זיקוק 01/1999-03/2025","20-01-2022 18:00","10.3","3.6"
"חיפה בתי זיקוק 01/1999-03/2025","20-01-2022 21:00","8.2","0.6"
"חיפה בתי זיקוק 01/1999-03/2025","21-01-2022 00:00","8.7","2.7"
"חיפה בתי זיקוק 01/1999-03/2025","21-01-2022 03:00","6.1","4.8"
"חיפה בתי זיקוק 01/1999-03/2025","21-01-2022 06:00","6.6","3.7"
"חיפה בתי זיקוק 01/1999-03/2025","21-01-2022 09:00","7.6","4.6"
"חיפה בתי זיקוק 01/1999-03/2025","21-01-2022 12:00","10.4","6.7"
"חיפה בתי זיקוק 01/1999-03/2025","21-01-2022 15:00","15.2","2.7"
"חיפה בתי זיקוק 01/1999-03/2025","21-01-2022 18:00","12.5","1.7"
"חיפה בתי זיקוק 01/1999-03/2025","21-01-2022 21:00","7.6","1"
"חיפה בתי זיקוק 01/1999-03/2025","22-01-2022 00:00","10.3","5.3"
"חיפה בתי זיקוק 01/1999-03/2025","22-01-2022 03:00","10","5.8"
"חיפה בתי זיקוק 01/1999-03/2025","22-01-2022 06:00","8.7","5.9"
"חיפה בתי זיקוק 01/1999-03/2025","22-01-2022 09:00","9","7"
"חיפה בתי זיקוק 01/1999-03/2025","22-01-2022 12:00","13.1","4.8"
"חיפה בתי זיקוק 01/1999-03/2025","22-01-2022 15:00","15.3","5.6"
"חיפה בתי זיקוק 01/1999-03/2025","22-01-2022 18:00","13.4","0.7"
"חיפה בתי זיקוק 01/1999-03/2025","22-01-2022 21:00","9.4","3.8"
"חיפה בתי זיקוק 01/1999-03/2025","23-01-2022 00:00","10.9","5.6"
"חיפה בתי זיקוק 01/1999-03/2025","23-01-2022 03:00","13.1","5.3"
"חיפה בתי זיקוק 01/1999-03/2025","23-01-2022 06:00","11.3","6"
"חיפה בתי זיקוק 01/1999-03/2025","23-01-2022 09:00","12.5","5.5"
"חיפה בתי זיקוק 01/1999-03/2025","23-01-2022 12:00","15.6","11.1"
"חיפה בתי זיקוק 01/1999-03/2025","23-01-2022 15:00","11.9","7.8"
"חיפה בתי זיקוק 01/1999-03/2025","23-01-2022 18:00","11.3","7.3"
"חיפה בתי זיקוק 01/1999-03/2025","23-01-2022 21:00","9.5","1"
"חיפה בתי זיקוק 01/1999-03/2025","24-01-2022 00:00","9.7","3.4"
"חיפה בתי זיקוק 01/1999-03/2025","24-01-2022 03:00","8.7","2.7"
"חיפה בתי זיקוק 01/1999-03/2025","24-01-2022 06:00","8.7","2.5"
"חיפה בתי זיקוק 01/1999-03/2025","24-01-2022 09:00","9.2","1.2"
"חיפה בתי זיקוק 01/1999-03/2025","24-01-2022 12:00","9.4","5.7"
"חיפה בתי זיקוק 01/1999-03/2025","24-01-2022 15:00","11.7","6.8"
"חיפה בתי זיקוק 01/1999-03/2025","24-01-2022 18:00","11.4","5"
"חיפה בתי זיקוק 01/1999-03/2025","24-01-2022 21:00","8.4","0.7"
"חיפה בתי זיקוק 01/1999-03/2025","25-01-2022 00:00","6.9","3.9"
"חיפה בתי זיקוק 01/1999-03/2025","25-01-2022 03:00","4.7","1.8"
"חיפה בתי זיקוק 01/1999-03/2025","25-01-2022 06:00","5.9","5.8"
"חיפה בתי זיקוק 01/1999-03/2025","25-01-2022 09:00","7.4","7.1"
"חיפה בתי זיקוק 01/1999-03/2025","25-01-2022 12:00","11.7","6.1"
"חיפה בתי זיקוק 01/1999-03/2025","25-01-2022 15:00","16.5","2.9"
"חיפה בתי זיקוק 01/1999-03/2025","25-01-2022 18:00","13.5","5"
"חיפה בתי זיקוק 01/1999-03/2025","25-01-2022 21:00","12.2","2.5"
"חיפה בתי זיקוק 01/1999-03/2025","26-01-2022 00:00","9.3","1.4"
"חיפה בתי זיקוק 01/1999-03/2025","26-01-2022 03:00","9","4.2"
"חיפה בתי זיקוק 01/1999-03/2025","26-01-2022 06:00","8.1","1.5"
"חיפה בתי זיקוק 01/1999-03/2025","26-01-2022 09:00","7.9","2.5"
"חיפה בתי זיקוק 01/1999-03/2025","26-01-2022 12:00","9.9","2.8"
"חיפה בתי זיקוק 01/1999-03/2025","26-01-2022 15:00","12","6.8"
"חיפה בתי זיקוק 01/1999-03/2025","26-01-2022 18:00","9.6","7.7"
"חיפה בתי זיקוק 01/1999-03/2025","26-01-2022 21:00","8.8","10.9"
"חיפה בתי זיקוק 01/1999-03/2025","27-01-2022 00:00","9","10.3"
"חיפה בתי זיקוק 01/1999-03/2025","27-01-2022 03:00","7.5","13.1"
"חיפה בתי זיקוק 01/1999-03/2025","27-01-2022 06:00","8","7.8"
"חיפה בתי זיקוק 01/1999-03/2025","27-01-2022 09:00","10.9","10.4"
"חיפה בתי זיקוק 01/1999-03/2025","27-01-2022 12:00","12.4","10.7"
"חיפה בתי זיקוק 01/1999-03/2025","27-01-2022 15:00","14.7","6"
"חיפה בתי זיקוק 01/1999-03/2025","27-01-2022 18:00","11.7","5.7"
"חיפה בתי זיקוק 01/1999-03/2025","27-01-2022 21:00","11.5","4.2"
"חיפה בתי זיקוק 01/1999-03/2025","28-01-2022 00:00","11.1","3.6"
"חיפה בתי זיקוק 01/1999-03/2025","28-01-2022 03:00","9.6","4.6"
"חיפה בתי זיקוק 01/1999-03/2025","28-01-2022 06:00","8.6","1.6"
"חיפה בתי זיקוק 01/1999-03/2025","28-01-2022 09:00","9.9","3"
"חיפה בתי זיקוק 01/1999-03/2025","28-01-2022 12:00","12.1","1.9"
"חיפה בתי זיקוק 01/1999-03/2025","28-01-2022 15:00","12.7","2.7"
"חיפה בתי זיקוק 01/1999-03/2025","28-01-2022 18:00","12.6","2"
"חיפה בתי זיקוק 01/1999-03/2025","28-01-2022 21:00","9.8","4.2"
"חיפה בתי זיקוק 01/1999-03/2025","29-01-2022 00:00","9.5","4.4"
"חיפה בתי זיקוק 01/1999-03/2025","29-01-2022 03:00","9","4.6"
"חיפה בתי זיקוק 01/1999-03/2025","29-01-2022 06:00","8.9","2.5"
"חיפה בתי זיקוק 01/1999-03/2025","29-01-2022 09:00","9.1","5.9"
"חיפה בתי זיקוק 01/1999-03/2025","29-01-2022 12:00","13.1","2.4"
"חיפה בתי זיקוק 01/1999-03/2025","29-01-2022 15:00","14.3","2.2"
"חיפה בתי זיקוק 01/1999-03/2025","29-01-2022 18:00","10.7","1.5"
"חיפה בתי זיקוק 01/1999-03/2025","29-01-2022 21:00","10.2","2"
"חיפה בתי זיקוק 01/1999-03/2025","30-01-2022 00:00","9.5","4.8"
"חיפה בתי זיקוק 01/1999-03/2025","30-01-2022 03:00","7.5","4.8"
"חיפה בתי זיקוק 01/1999-03/2025","30-01-2022 06:00","10.5","7.3"
"חיפה בתי זיקוק 01/1999-03/2025","30-01-2022 09:00","10.1","5.8"
"חיפה בתי זיקוק 01/1999-03/2025","30-01-2022 12:00","14.3","5.9"
"חיפה בתי זיקוק 01/1999-03/2025","30-01-2022 15:00","","4.1"
"חיפה בתי זיקוק 01/1999-03/2025","30-01-2022 18:00","14.3","2.2"
"חיפה בתי זיקוק 01/1999-03/2025","30-01-2022 21:00","10.1","1.7"
"חיפה בתי זיקוק 01/1999-03/2025","31-01-2022 00:00","7.9","3.4"
"חיפה בתי זיקוק 01/1999-03/2025","31-01-2022 03:00","7.5","4.6"
"חיפה בתי זיקוק 01/1999-03/2025","31-01-2022 06:00","9.2","3.5"
"חיפה בתי זיקוק 01/1999-03/2025","31-01-2022 09:00","10.1","7.4"
"חיפה בתי זיקוק 01/1999-03/2025","31-01-2022 12:00","12.6","2.5"
"חיפה בתי זיקוק 01/1999-03/2025","31-01-2022 15:00","17.2","8.4"
"חיפה בתי זיקוק 01/1999-03/2025","31-01-2022 18:00","14.5","6.3"
"חיפה בתי זיקוק 01/1999-03/2025","31-01-2022 21:00","11.3","4.9"
"חיפה בתי זיקוק 01/1999-03/2025","01-02-2022 00:00","9.9","3.9"
"חיפה בתי זיקוק 01/1999-03/2025","01-02-2022 03:00","11.2","6.7"
"חיפה בתי זיקוק 01/1999-03/2025","01-02-2022 06:00","10.7","2.6"
"חיפה בתי זיקוק 01/1999-03/2025","01-02-2022 09:00","11.1","4.7"
"חיפה בתי זיקוק 01/1999-03/2025","01-02-2022 12:00","14.7","5.5"
"חיפה בתי זיקוק 01/1999-03/2025","01-02-2022 15:00","17.4","2.7"
"חיפה בתי זיקוק 01/1999-03/2025","01-02-2022 18:00","15.1","1.1"
"חיפה בתי זיקוק 01/1999-03/2025","01-02-2022 21:00","13.1","1"
"חיפה בתי זיקוק 01/1999-03/2025","02-02-2022 00:00","10.2","3.6"
"חיפה בתי זיקוק 01/1999-03/2025","02-02-2022 03:00","11.9","4.9"
"חיפה בתי זיקוק 01/1999-03/2025","02-02-2022 06:00","11.3","8.5"
"חיפה בתי זיקוק 01/1999-03/2025","02-02-2022 09:00","12.1","4.8"
"חיפה בתי זיקוק 01/1999-03/2025","02-02-2022 12:00","16.8","5.1"
"חיפה בתי זיקוק 01/1999-03/2025","02-02-2022 15:00","20.1","3.9"
"חיפה בתי זיקוק 01/1999-03/2025","02-02-2022 18:00","19.2","3.2"
"חיפה בתי זיקוק 01/1999-03/2025","02-02-2022 21:00","17.7","5.5"
"חיפה בתי זיקוק 01/1999-03/2025","03-02-2022 00:00","16.6","6.9"
"חיפה בתי זיקוק 01/1999-03/2025","03-02-2022 03:00","15.5","6.1"
"חיפה בתי זיקוק 01/1999-03/2025","03-02-2022 06:00","14.6","5.6"
"חיפה בתי זיקוק 01/1999-03/2025","03-02-2022 09:00","12.8","4.9"
"חיפה בתי זיקוק 01/1999-03/2025","03-02-2022 12:00","17.3","7.2"
"חיפה בתי זיקוק 01/1999-03/2025","03-02-2022 15:00","20","8.4"
"חיפה בתי זיקוק 01/1999-03/2025","03-02-2022 18:00","17.4","5.8"
"חיפה בתי זיקוק 01/1999-03/2025","03-02-2022 21:00","15.1","4.3"
"חיפה בתי זיקוק 01/1999-03/2025","04-02-2022 00:00","15.9","5.3"
"חיפה בתי זיקוק 01/1999-03/2025","04-02-2022 03:00","15.2","8.1"
"חיפה בתי זיקוק 01/1999-03/2025","04-02-2022 06:00","13.9","8.5"
"חיפה בתי זיקוק 01/1999-03/2025","04-02-2022 09:00","12.4","7"
"חיפה בתי זיקוק 01/1999-03/2025","04-02-2022 12:00","11.3","4.2"
"חיפה בתי זיקוק 01/1999-03/2025","04-02-2022 15:00","15.1","9"
"חיפה בתי זיקוק 01/1999-03/2025","04-02-2022 18:00","13.7","6.9"
"חיפה בתי זיקוק 01/1999-03/2025","04-02-2022 21:00","12.2","7.6"
"חיפה בתי זיקוק 01/1999-03/2025","05-02-2022 00:00","10.5","3"
"חיפה בתי זיקוק 01/1999-03/2025","05-02-2022 03:00","10.7","3.5"
"חיפה בתי זיקוק 01/1999-03/2025","05-02-2022 06:00","10.3","0.8"
"חיפה בתי זיקוק 01/1999-03/2025","05-02-2022 09:00","10.5","0.7"
"חיפה בתי זיקוק 01/1999-03/2025","05-02-2022 12:00","13.3","0.9"
"חיפה בתי זיקוק 01/1999-03/2025","05-02-2022 15:00","13.7","1"
"חיפה בתי זיקוק 01/1999-03/2025","05-02-2022 18:00","14.1","2.6"
"חיפה בתי זיקוק 01/1999-03/2025","05-02-2022 21:00","11.6","0.6"
"חיפה בתי זיקוק 01/1999-03/2025","06-02-2022 00:00","11","2.5"
"חיפה בתי זיקוק 01/1999-03/2025","06-02-2022 03:00","9.7","1.5"
"חיפה בתי זיקוק 01/1999-03/2025","06-02-2022 06:00","9","3.6"
"חיפה בתי זיקוק 01/1999-03/2025","06-02-2022 09:00","10.5","3"
"חיפה בתי זיקוק 01/1999-03/2025","06-02-2022 12:00","16.3","2.4"
"חיפה בתי זיקוק 01/1999-03/2025","06-02-2022 15:00","15.2","3.9"
"חיפה בתי זיקוק 01/1999-03/2025","06-02-2022 18:00","15.6","5"
"חיפה בתי זיקוק 01/1999-03/2025","06-02-2022 21:00","13.9","6.6"
"חיפה בתי זיקוק 01/1999-03/2025","07-02-2022 00:00","14.6","4.5"
"חיפה בתי זיקוק 01/1999-03/2025","07-02-2022 03:00","13.4","2.2"
"חיפה בתי זיקוק 01/1999-03/2025","07-02-2022 06:00","13.1","3.7"
"חיפה בתי זיקוק 01/1999-03/2025","07-02-2022 09:00","13.9","3.5"
"חיפה בתי זיקוק 01/1999-03/2025","07-02-2022 12:00","18.3","3.8"
"חיפה בתי זיקוק 01/1999-03/2025","07-02-2022 15:00","17.5","5.5"
"חיפה בתי זיקוק 01/1999-03/2025","07-02-2022 18:00","16.2","3.3"
"חיפה בתי זיקוק 01/1999-03/2025","07-02-2022 21:00","12.2","1.4"
"חיפה בתי זיקוק 01/1999-03/2025","08-02-2022 00:00","10.3","4.2"
"חיפה בתי זיקוק 01/1999-03/2025","08-02-2022 03:00","9.5","2.8"
"חיפה בתי זיקוק 01/1999-03/2025","08-02-2022 06:00","11.2","6.8"
"חיפה בתי זיקוק 01/1999-03/2025","08-02-2022 09:00","12.1","6.5"
"חיפה בתי זיקוק 01/1999-03/2025","08-02-2022 12:00","17","6.4"
"חיפה בתי זיקוק 01/1999-03/2025","08-02-2022 15:00","21.5","4.8"
"חיפה בתי זיקוק 01/1999-03/2025","08-02-2022 18:00","17.6","4.1"
"חיפה בתי זיקוק 01/1999-03/2025","08-02-2022 21:00","12","1.2"
"חיפה בתי זיקוק 01/1999-03/2025","09-02-2022 00:00","9.8","2.2"
"חיפה בתי זיקוק 01/1999-03/2025","09-02-2022 03:00","13.9","5.8"
"חיפה בתי זיקוק 01/1999-03/2025","09-02-2022 06:00","12.9","8.3"
"חיפה בתי זיקוק 01/1999-03/2025","09-02-2022 09:00","13.2","9.4"
"חיפה בתי זיקוק 01/1999-03/2025","09-02-2022 12:00","17.4","5"
"חיפה בתי זיקוק 01/1999-03/2025","09-02-2022 15:00","14.1","8.4"
"חיפה בתי זיקוק 01/1999-03/2025","09-02-2022 18:00","14.9","8.4"
